City,State,Year 2017,Year 2018
Malden city, Massachusetts,61071,61036
Chapel Hill town, North Carolina,58997,60988
Novi city, Michigan,59985,60951
Marietta city, Georgia,60789,60806
Terre Haute city, Indiana,60816,60753
Lakewood city, Washington,60310,60538
Woodland city, California,59877,60531
Ocala city, Florida,59155,60429
Monterey Park city, California,60769,60401
Taylorsville city, Utah,60091,60192
Cupertino city, California,60621,60170
Utica city, New York,60402,60100
Sanford city, Florida,59437,60035
Bristol city, Connecticut,60110,60032
Porterville city, California,59989,59988
Vineland city, New Jersey,59972,59966
Owensboro city, Kentucky,59518,59809
Pontiac city, Michigan,60053,59772
Gardena city, California,59957,59721
La Mesa city, California,59796,59556
Meriden city, Connecticut,59663,59540
West Allis city, Wisconsin,59872,59492
Royal Oak city, Michigan,59370,59461
Lancaster city, Pennsylvania,59532,59420
St. Clair Shores city, Michigan,59692,59409
Bartlett city, Tennessee,59050,59315
Springfield city, Ohio,59206,59282
Des Plaines city, Illinois,58120,58959
Greenwood city, Indiana,57433,58778
Gilroy city, California,57579,58756
San Rafael city, California,58794,58704
Great Falls city, Montana,58842,58701
Bowie city, Maryland,58596,58682
Margate city, Florida,58205,58656
Corvallis city, Oregon,58413,58641
Arcadia city, California,58498,58610
Commerce City city, Colorado,56063,58449
Orland Park village, Illinois,58658,58312
Huntington Park city, California,58555,58173
Santee city, California,57900,58115
White Plains city, New York,58358,58111
Dubuque city, Iowa,58267,57941
Kokomo city, Indiana,57797,57869
Medford city, Massachusetts,57783,57765
Sarasota city, Florida,57186,57738
Weymouth Town city, Massachusetts,56744,57719
Bradenton city, Florida,56659,57644
Hendersonville city, Tennessee,57541,57576
Casper city, Wyoming,57812,57461
Bonita Springs city, Florida,56106,57370
Euless city, Texas,55273,57346
Midwest City city, Oklahoma,57241,57325
Richland city, Washington,56328,57303
Taunton city, Massachusetts,56970,57296
Casa Grande city, Arizona,55815,57232
St. Peters city, Missouri,57146,57127
Huntersville town, North Carolina,56201,57098
Grand Forks city, North Dakota,56796,56948
Hanford city, California,56332,56910
Shoreline city, Washington,56586,56752
Smyrna city, Georgia,56435,56706
Caldwell city, Idaho,54732,56541
Valdosta city, Georgia,56048,56426
Palm Beach Gardens city, Florida,55512,56284
Diamond Bar city, California,56411,56275
Pocatello city, Idaho,55436,56266
Tinley Park village, Illinois,56606,56204
Leander city, Texas,49882,56111
New Brunswick city, New Jersey,56145,56100
Fountain Valley city, California,56128,55814
Novato city, California,55707,55655
Parker town, Colorado,54085,55636
Dearborn Heights city, Michigan,55847,55616
Chicopee city, Massachusetts,55363,55582
Oak Lawn village, Illinois,56016,55511
Carson City, Nevada,54608,55414
Highland city, California,55232,55406
Lenexa city, Kansas,53547,55294
Hempstead village, New York,55373,55255
Blue Springs city, Missouri,54852,55104
Kettering city, Ohio,55175,55103
Lake Havasu City city, Arizona,54411,55090
Anderson city, Indiana,55033,55037
Port Arthur city, Texas,55544,55018
Manhattan city, Kansas,55132,54959
Southaven city, Mississippi,54085,54944
Berwyn city, Illinois,55480,54917
Cathedral City city, California,54465,54902
West Haven city, Connecticut,54836,54879
Tigard city, Oregon,53350,54758
Normal town, Illinois,54469,54742
Colton city, California,54722,54741
Stonecrest city, Georgia,54323,54522
Albany city, Oregon,53481,54453
Rosemead city, California,54310,54412
Paramount city, California,54666,54387
Decatur city, Alabama,54347,54264
Rocky Mount city, North Carolina,54682,54242
Mount Prospect village, Illinois,54706,54198
Brookhaven city, Georgia,53689,54145
Apple Valley city, Minnesota,52432,54121
St. Cloud city, Florida,51548,54115
Kingsport city, Tennessee,53515,54076
Harrisonburg city, Virginia,53907,54033
Grapevine city, Texas,54029,53976
Minnetonka city, Minnesota,52927,53953
Watsonville city, California,53937,53920
Leesburg town, Virginia,54027,53917
Elyria city, Ohio,53823,53881
Apex town, North Carolina,50444,53852
Revere city, Massachusetts,54163,53821
Burlington city, North Carolina,52981,53748
