,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %
574,"York-Hanover, PA Metro Area",434579,58747,442216,61707,7637,2960,1.7269840982687195,5.038555160263503
575,"Youngstown-Warren-Boardman, OH-PA Metro Area",564768,42224,548821,44947,-15947,2723,-2.9056832737814333,6.448938992042439
577,"Yuma, AZ Metro Area",196420,41156,204281,43253,7861,2097,3.8481307610595215,5.09524735154048
588,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1595454,52779,1830410,59365,234956,6586,12.836249801956939,12.478447867523068
594,"New Haven-Milford, CT Metro Area",860995,62234,862127,64872,1132,2638,0.1313031606712236,4.238840505190089
606,"Norwich-New London, CT Metro Area",273723,68310,270772,69411,-2951,1101,-1.0898468083849142,1.6117698726394378
608,"Ocala, FL Metro Area",331987,39770,343778,41964,11791,2194,3.4298297156886126,5.51672114659291
611,"Ogden-Clearfield, UT Metro Area",547089,62637,642274,68558,95185,5921,14.819998941261828,9.45287928859939
615,"Oklahoma City, OK Metro Area",1256947,49534,1353504,54946,96557,5412,7.133854055843204,10.92582872370493
617,"Omaha-Council Bluffs, NE-IA Metro Area",866454,56727,914190,62345,47736,5618,5.221671643750205,9.903573254358594
621,"Orlando-Kissimmee-Sanford, FL Metro Area",2147534,49263,2390859,52261,243325,2998,10.177304475086151,6.085703266142947
629,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",822794,76483,847834,81972,25040,5489,2.953408332291463,7.17675823385589
634,"Palm Bay-Melbourne-Titusville, FL Metro Area",544019,49099,568183,51536,24164,2437,4.25285515406128,4.963441210615287
643,"Pensacola-Ferry Pass-Brent, FL Metro Area",451950,48489,476702,51926,24752,3437,5.192342385809163,7.088205572397864
644,"Peoria, IL Metro Area",378886,53925,377258,57301,-1628,3376,-0.4315349177485965,6.26054705609643
646,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5967349,61927,6065644,66285,98295,4358,1.6205204261905248,7.037318132640044
651,"Pittsburgh, PA Metro Area",2357981,50182,2348143,56073,-9838,5891,-0.4189693728192874,11.739269060619344
660,"Ponce, PR Metro Area",242280,17225,316625,16736,74345,-489,23.480457954994076,-2.8388969521044993
665,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232607,57896,2382037,66657,149430,8761,6.273202305421788,15.132306204228271
666,"Port St. Lucie, FL Metro Area",424743,45874,454482,50045,29739,4171,6.543493471688648,9.09229628983738
669,"Prescott, AZ Metro Area",211280,43652,220972,48259,9692,4607,4.386076063935702,10.553926509667368
672,"Provo-Orem, UT Metro Area",526804,59594,587190,66742,60386,7148,10.283894480491835,11.994496090210424
680,"Reading, PA Metro Area",411094,55021,415500,59580,4406,4559,1.0604091456077016,8.285927191435997
686,"Richmond, VA Metro Area",1260202,58577,1270158,63599,9956,5022,0.7838394908349984,8.573330829506462
688,"Riverside-San Bernardino-Ontario, CA Metro Area",4234011,55928,4476222,59173,242211,3245,5.411058700841916,5.802102703475898
690,"Roanoke, VA Metro Area",308238,49264,313069,52609,4831,3345,1.5431103047570984,6.789948035076324
693,"Rochester, MN Metro Area",186214,65145,214485,69003,28271,3858,13.180875119472224,5.922173612710108
694,"Rochester, NY Metro Area",1054160,53155,1080653,55256,26493,2101,2.4515732617223103,3.952591477753739
695,"Rockford, IL Metro Area",348574,49752,341150,52360,-7424,2608,-2.176168840685915,5.242000321595111
711,"St. Louis, MO-IL Metro Area",2810367,54109,2804998,59046,-5369,4937,-0.19140833612002575,9.124175275832117
714,"Salem, OR Metro Area",390839,47687,410119,54304,19280,6617,4.701074566162504,13.875899091995722
716,"Salinas, CA Metro Area",416199,60143,433168,63249,16969,3106,3.917417722454106,5.1643582794340155
717,"Salt Lake City, UT Metro Area",1126982,60329,1170057,67838,43075,7509,3.681444579195715,12.44675031908369
719,"San Antonio-New Braunfels, TX Metro Area",2149153,51208,2377507,56495,228354,5287,9.604766673662791,10.324558662708952
721,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1843860,89940,1969897,105809,126037,15869,6.398151781539847,17.643984878808094
722,"Santa Cruz-Watsonville, CA Metro Area",262340,66571,273263,73663,10923,7092,3.997248072369842,10.653287467515886
726,"Savannah, GA Metro Area",349163,49243,377476,55021,28313,5778,7.500609310260785,11.733647421968604
731,"Seattle-Tacoma-Bellevue, WA Metro Area",3453748,67437,3735216,77269,281468,9832,7.5355213727934345,14.579533490517074
748,"Shreveport-Bossier City, LA Metro Area",399407,43799,443974,42572,44567,-1227,10.038200435160617,-2.801433822690016
753,"Sioux Falls, SD Metro Area",229333,56135,250564,62047,21231,5912,8.473284270685335,10.531753807784805
757,"South Bend-Mishawaka, IN-MI Metro Area",319197,45056,320010,48681,813,3625,0.2540545607949752,8.045543323863637
758,"Spartanburg, SC Metro Area",284540,43421,325504,46431,40964,3010,12.58479158474243,6.932129614702563
762,"Springfield, IL Metro Area",210202,55588,210550,58956,348,3368,0.16528140584184278,6.058861624811111
763,"Springfield, MA Metro Area",694411,52395,630385,55306,-64026,2911,-10.156650301006529,5.555873652066037
764,"Springfield, MO Metro Area",437188,43333,455133,45326,17945,1993,3.9428035321543375,4.59926614820114
782,"Syracuse, NY Metro Area",661211,52230,659262,56305,-1949,4075,-0.2956336024221023,7.8020294849703244
785,"Tallahassee, FL Metro Area",368342,45027,377674,48618,9332,3591,2.4709140687471205,7.975214871077354
786,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2793814,46606,2978209,50567,184395,3961,6.191472794555385,8.498905720293525
