,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
340,"Calhoun, GA Micro Area",55192,40661,56424,43452
341,"Cambridge, MD Micro Area",32570,46199,32386,50532
342,"Cambridge, OH Micro Area",40056,39293,39414,42744
343,"Camden, AR Micro Area",31267,31918,29572,33107
344,"Campbellsville, KY Micro Area",24514,35000,25406,36455
345,"Canton, IL Micro Area",36989,43363,35733,48599
346,"Canton-Massillon, OH Metro Area",404421,45419,402098,50217
347,"Cape Coral-Fort Myers, FL Metro Area",624155,48453,700165,52052
348,"Carlsbad-Artesia, NM Micro Area",53693,47940,56793,60703
349,"Carson City, NV Metro Area",55184,53987,54219,49341
350,"Casper, WY Metro Area",75876,55786,81023,59400
351,"Cedar City, UT Micro Area",45984,42296,48504,45422
352,"Cedar Rapids, IA Metro Area",258684,56542,266122,62399
353,"Cedartown, GA Micro Area",41350,38861,41444,40652
354,"Celina, OH Micro Area",40866,52234,40723,57052
355,"Central City, KY Micro Area",31399,38835,31153,40037
356,"Centralia, IL Micro Area",39319,41723,38305,44679
357,"Centralia, WA Micro Area",75399,43490,76012,46387
358,"Champaign-Urbana, IL Metro Area",231655,46830,237849,50720
359,"Charleston, WV Metro Area",303995,46053,219964,45155
360,"Charleston-Mattoon, IL Micro Area",64727,39087,63439,43253
361,"Charlottesville, VA Metro Area",201909,59526,228825,63486
362,"Chattanooga, TN-GA Metro Area",528667,44306,548359,49471
363,"Cheyenne, WY Metro Area",91719,54596,97031,62879
364,"Chico, CA Metro Area",220101,43339,225207,46516
365,"Chillicothe, OH Micro Area",77741,44089,77125,45792
366,"Clarksburg, WV Micro Area",93995,40626,93985,47546
367,"Clarksdale, MS Micro Area",26099,25574,24296,28728
368,"Clarksville, TN-KY Metro Area",274404,45192,278844,50369
369,"Clearlake, CA Micro Area",64360,38147,64095,40446
370,"Cleveland, MS Micro Area",34239,27768,33121,28468
371,"Cleveland, TN Metro Area",115985,40207,120388,45570
372,"Clewiston, FL Micro Area",38669,35736,39064,37966
